School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,46.13%,22.10%,19.82%,11.96%,105,174,194,405
2018-2019,Non-Native Students,27.14%,21.49%,25.24%,26.13%,2492,2407,2050,2589
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,51.98%,22.09%,16.14%,9.79%,74,122,167,393
2020-2021,Non-Native Students,28.93%,20.61%,26.58%,23.88%,2105,2343,1817,2550
2021-2022,American Indian Students,52.09%,24.14%,15.89%,7.88%,64,129,196,423
2021-2022,Non-Native Students,28.03%,22.06%,25.85%,24.06%,2246,2413,2059,2617
2022-2023,American Indian Students,51.15%,23.94%,16.65%,8.26%,68,137,197,421
2022-2023,Non-Native Students,27.89%,21.92%,24.89%,25.31%,2374,2335,2056,2616
