School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,40.60%,29.31%,23.83%,6.26%,56,213,262,363
2018-2019,Non-Native Students,18.28%,26.46%,36.92%,18.35%,1765,3551,2545,1758
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,41.15%,33.21%,20.15%,5.49%,45,165,272,337
2020-2021,Non-Native Students,21.37%,28.60%,33.84%,16.19%,1433,2995,2531,1891
2021-2022,American Indian Students,46.48%,29.63%,18.28%,5.62%,47,153,248,389
2021-2022,Non-Native Students,21.96%,28.40%,33.38%,16.26%,1503,3086,2626,2030
2022-2023,American Indian Students,46.04%,27.53%,21.48%,4.96%,45,195,250,418
2022-2023,Non-Native Students,23.23%,27.74%,33.20%,15.84%,1498,3140,2624,2197
