School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,47.54%,31.66%,13.98%,6.82%,61,125,283,425
2018-2019,Non-Native Students,24.35%,33.04%,24.06%,18.56%,1785,2314,3178,2342
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,57.16%,28.89%,9.46%,4.48%,36,76,232,459
2020-2021,Non-Native Students,29.09%,36.26%,20.69%,13.96%,1215,1800,3155,2531
2021-2022,American Indian Students,59.71%,27.06%,9.95%,3.28%,27,82,223,492
2021-2022,Non-Native Students,29.20%,34.84%,21.18%,14.78%,1330,1906,3135,2627
2022-2023,American Indian Students,56.31%,29.31%,9.62%,4.76%,43,87,265,509
2022-2023,Non-Native Students,29.21%,33.15%,21.87%,15.78%,1490,2065,3130,2758
